0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,state,total
83544.0,12658.0,18714.0,7157.0,68804.0,19884.0,13340.0,2472.0,5139.0,217405.0,0.0,6441.0,2446.0,41484.0,22174.0,7763.0,10722.0,28071.0,24521.0,1433.0,26795.0,19439.0,41307.0,8312.0,21691.0,13786.0,1368.0,6594.0,8543.0,770.0,27121.0,3833.0,69663.0,84637.0,765.0,44931.0,12509.0,5980.0,29690.0,14862.0,82314.0,1902.0,68077.0,71119.0,5895.0,1716.0,38959.0,13248.0,3938.0,16066.0,1376.0,Georgia,1341378.0
4381.0,5864.0,8469.0,571.0,57327.0,7125.0,2058.0,1268.0,899.0,15995.0,9010.0,0.0,2068.0,5506.0,1284.0,1359.0,1825.0,1474.0,1804.0,1638.0,5035.0,3811.0,5166.0,3145.0,818.0,2594.0,1124.0,248.0,7335.0,1008.0,2232.0,1579.0,12992.0,9974.0,101.0,3370.0,3316.0,7908.0,2994.0,1103.0,6919.0,1913.0,2864.0,23656.0,8969.0,71.0,7998.0,15688.0,1475.0,3009.0,100.0,Hawaii,278440.0
1360.0,12569.0,16695.0,1847.0,47553.0,6882.0,584.0,120.0,342.0,7064.0,1905.0,1721.0,0.0,2345.0,829.0,1608.0,1684.0,592.0,490.0,572.0,609.0,1087.0,2435.0,2752.0,629.0,1676.0,11343.0,1035.0,13627.0,238.0,817.0,2891.0,2048.0,2134.0,1901.0,2520.0,1599.0,24188.0,1180.0,12.0,2327.0,8898.0,4031.0,7452.0,39367.0,0.0,3698.0,41608.0,266.0,1190.0,5492.0,Idaho,295812.0
9106.0,11329.0,31553.0,9613.0,76208.0,17847.0,7805.0,1316.0,5829.0,70133.0,34143.0,6931.0,3226.0,0.0,97824.0,45058.0,10784.0,19406.0,7546.0,2019.0,10937.0,15997.0,61447.0,25737.0,7398.0,66824.0,1627.0,4409.0,11315.0,1703.0,13532.0,7271.0,40222.0,23496.0,2189.0,35457.0,7165.0,5558.0,20255.0,4391.0,18458.0,2959.0,18263.0,57265.0,6771.0,2221.0,31101.0,11962.0,4271.0,75493.0,1734.0,Illinois,1065104.0
8653.0,1877.0,15831.0,5376.0,36406.0,10446.0,3482.0,975.0,2721.0,41668.0,13621.0,3106.0,3721.0,138248.0,0.0,7630.0,6502.0,49394.0,5445.0,715.0,4558.0,2881.0,50464.0,6450.0,3763.0,14896.0,564.0,2759.0,3405.0,2003.0,5421.0,1283.0,13021.0,12646.0,183.0,58423.0,4336.0,3248.0,11203.0,1659.0,13470.0,2251.0,13824.0,26330.0,3072.0,1936.0,12517.0,4775.0,2221.0,10664.0,2637.0,Indiana,652680.0
1481.0,4416.0,7594.0,2405.0,19268.0,13021.0,1833.0,85.0,512.0,11643.0,5498.0,2264.0,1353.0,64119.0,8591.0,0.0,9677.0,3219.0,2664.0,434.0,1791.0,1755.0,5942.0,34464.0,2047.0,20061.0,1970.0,32817.0,5156.0,437.0,2253.0,1528.0,5156.0,5503.0,5073.0,4484.0,4905.0,3137.0,2675.0,536.0,5070.0,8645.0,4194.0,13972.0,5562.0,450.0,5351.0,4123.0,284.0,16773.0,1177.0,Iowa,367368.0
3728.0,3396.0,11631.0,8676.0,28280.0,23619.0,940.0,312.0,658.0,14618.0,12363.0,1857.0,1788.0,10740.0,7599.0,8488.0,0.0,4815.0,4105.0,836.0,6886.0,1109.0,7059.0,6991.0,2871.0,115846.0,1425.0,14465.0,5437.0,500.0,5564.0,4223.0,5441.0,6128.0,1391.0,7993.0,32877.0,2690.0,3635.0,663.0,11505.0,1390.0,4730.0,34731.0,1475.0,213.0,6305.0,6819.0,469.0,4554.0,2890.0,Kansas,456724.0
10545.0,6276.0,8590.0,3154.0,15241.0,3191.0,1602.0,935.0,982.0,41771.0,23804.0,2369.0,850.0,24241.0,56933.0,3419.0,4548.0,0.0,4068.0,637.0,7754.0,4204.0,23931.0,3859.0,6132.0,12826.0,455.0,2885.0,2081.0,1186.0,3359.0,2370.0,16731.0,17816.0,239.0,81479.0,6597.0,1450.0,8569.0,4524.0,11554.0,864.0,46534.0,24050.0,3122.0,5509.0,16350.0,4969.0,10886.0,7199.0,872.0,Kentucky,553512.0
15882.0,4428.0,7909.0,12243.0,22067.0,6725.0,758.0,627.0,1613.0,36135.0,23988.0,2215.0,1770.0,9089.0,5375.0,2988.0,2924.0,6183.0,0.0,863.0,4813.0,2829.0,6340.0,2962.0,42777.0,8350.0,1177.0,1502.0,5086.0,488.0,2535.0,2070.0,9290.0,9296.0,1342.0,7957.0,12043.0,5094.0,4013.0,2048.0,30761.0,609.0,10330.0,104371.0,3092.0,456.0,8395.0,6396.0,1494.0,2012.0,565.0,Louisiana,464275.0
1194.0,1550.0,1969.0,105.0,7598.0,2044.0,9265.0,695.0,326.0,14776.0,3259.0,534.0,292.0,1922.0,435.0,678.0,1778.0,1621.0,978.0,0.0,1421.0,20521.0,1019.0,1266.0,99.0,899.0,580.0,528.0,643.0,19899.0,3616.0,748.0,10980.0,4777.0,74.0,3016.0,347.0,1091.0,5431.0,2420.0,1804.0,220.0,2744.0,4154.0,1056.0,3059.0,2513.0,1195.0,249.0,338.0,1150.0,Maine,148876.0
